(16.701112+472.438397j),(15.8739643+472.2817007j),(15.0468166+472.1250044j),(14.2196689+471.9683081j),(13.3925212+471.8116118j),(12.5653735+471.6549155j),(11.7382258+471.4982192j),(10.9110781+471.3415229j),(10.0839304+471.1848266j),(9.2567827+471.0281303j),(8.429635+470.871434j),
(5.356466+268.138014j),(6.4783366+267.6931705j),(7.6002072+267.248327j),(8.7220778+266.8034835j),(9.8439484+266.35864j),(10.965819+265.9137965j),(12.0876896+265.468953j),(13.2095602+265.0241095j),(14.3314308+264.579266j),(15.4533014+264.1344225j),(16.575172+263.689579j),
(11.523665+240.265126j),(11.7398423+241.2073031j),(11.9560196+242.1494802j),(12.1721969+243.0916573j),(12.3883742+244.0338344j),(12.6045515+244.9760115j),(12.8207288+245.9181886j),(13.0369061+246.8603657j),(13.2530834+247.8025428j),(13.4692607+248.7447199j),(13.685438+249.686897j),
(9.343321+185.668886j),(9.2008308+186.380403j),(9.0583406+187.09192j),(8.9158504+187.803437j),(8.7733602+188.514954j),(8.63087+189.226471j),(8.4883798+189.937988j),(8.3458896+190.649505j),(8.2033994+191.361022j),(8.0609092+192.072539j),(7.918419+192.784056j),
(10.935699+103.110028j),(11.0322008+103.4653033j),(11.1287026+103.8205786j),(11.2252044+104.1758539j),(11.3217062+104.5311292j),(11.418208+104.8864045j),(11.5147098+105.2416798j),(11.6112116+105.5969551j),(11.7077134+105.9522304j),(11.8042152+106.3075057j),(11.900717+106.662781j),
(17.061099+266.742809j),(15.5525539+267.4238819j),(14.0440088+268.1049548j),(12.5354637+268.7860277j),(11.0269186+269.4671006j),(9.5183735+270.1481735j),(8.0098284+270.8292464j),(6.5012833+271.5103193j),(4.9927382+272.1913922j),(3.4841931+272.8724651j),(1.975648+273.553538j),
(10.872917+232.326178j),(10.6641869+233.0791963j),(10.4554568+233.8322146j),(10.2467267+234.5852329j),(10.0379966+235.3382512j),(9.8292665+236.0912695j),(9.6205364+236.8442878j),(9.4118063+237.5973061j),(9.2030762+238.3503244j),(8.9943461+239.1033427j),(8.785616+239.856361j),
(13.721642+47.231521j),(13.566442+47.6814669j),(13.411242+48.1314128j),(13.256042+48.5813587j),(13.100842+49.0313046j),(12.945642+49.4812505j),(12.790442+49.9311964j),(12.635242+50.3811423j),(12.480042+50.8310882j),(12.324842+51.2810341j),(12.169642+51.73098j),
(10.419713+451.26237j),(10.2380135+452.0883925j),(10.056314+452.914415j),(9.8746145+453.7404375j),(9.692915+454.56646j),(9.5112155+455.3924825j),(9.329516+456.218505j),(9.1478165+457.0445275j),(8.966117+457.87055j),(8.7844175+458.6965725j),(8.602718+459.522595j),
