(9.81234+278.909121j),(9.86349849046+278.612245003j),(9.91658123133+278.315707027j),(9.97158598998+278.019519544j),(10.028510453+277.723695012j),(10.087352226+277.428245872j),(10.1481088344+277.133184551j),(10.2107777226+276.838523459j),(10.2753562549+276.54427499j),(10.3418417151+276.250451519j),(10.4102313068+275.957065404j),(10.4805221538+275.664128986j),(10.5527112995+275.371654584j),(10.6267957077+275.0796545j),(10.7027722626+274.788141015j),(10.7806377685+274.497126391j),(10.8603889505+274.206622867j),(10.9420224542+273.916642661j),(11.0255348464+273.627197971j),(11.1109226144+273.338300969j),(11.1981821669+273.049963807j),(11.2873098338+272.762198612j),(11.3783018664+272.475017487j),(11.4711544378+272.18843251j),(11.5658636426+271.902455737j),(11.6624254972+271.617099194j),(11.7608359406+271.332374883j),(11.8610908334+271.04829478j),(11.9631859592+270.764870832j),(12.0671170237+270.482114962j),(12.1728796558+270.20003906j),(12.2804694072+269.918654992j),(12.3898817526+269.637974591j),(12.5011120902+269.358009664j),(12.6141557418+269.078771985j),(12.7290079529+268.800273299j),(12.8456638927+268.522525319j),(12.9641186549+268.245539728j),(13.0843672572+267.969328174j),(13.2064046422+267.693902277j),(13.330225677+267.419273618j),(13.4558251537+267.145453751j),(13.5831977897+266.87245419j),(13.7123382278+266.600286418j),(13.8432410365+266.328961884j),(13.97590071+266.058491997j),(14.1103116687+265.788888134j),(14.2464682594+265.520161635j),(14.3843647555+265.252323802j),(14.523995357+264.9853859j),(14.6653541913+264.719359156j),(14.8084353128+264.454254759j),(14.9532327037+264.190083859j),(15.0997402738+263.926857568j),(15.2479518611+263.664586956j),(15.397861232+263.403283054j),(15.5494620813+263.142956853j),(15.7027480328+262.883619301j),(15.8577126394+262.625281307j),(16.0143493834+262.367953736j),(16.1726516767+262.11164741j),(16.3326128612+261.856373111j),(16.4942262091+261.602141574j),(16.6574849229+261.348963493j),(16.8223821362+261.096849515j),(16.9889109134+260.845810246j),(17.1570642505+260.595856242j),(17.326835075+260.346998018j),(17.4982162464+260.09924604j),(17.6712005566+259.852610728j),(17.84578073+259.607102456j),(18.0219494238+259.36273155j),(18.1996992284+259.119508287j),(18.3790226679+258.877442898j),(18.5599122+258.636545564j),(18.7423602165+258.396826416j),(18.9263590438+258.158295537j),(19.1119009431+257.92096296j),(19.2989781106+257.684838667j),(19.4875826779+257.449932588j),(19.6777067123+257.216254605j),(19.8693422175+256.983814544j),(20.0624811334+256.752622183j),(20.2571153365+256.522687246j),(20.4532366408+256.294019402j),(20.6508367975+256.066628271j),(20.8499074956+255.840523415j),(21.0504403624+255.615714346j),(21.2524269635+255.392210517j),(21.4558588036+255.170021329j),(21.6607273263+254.949156128j),(21.8670239151+254.729624204j),(22.0747398933+254.511434788j),(22.2838665244+254.294597059j),(22.4943950127+254.079120137j),(22.7063165034+253.865013083j),(22.9196220834+253.652284904j),(23.1343027811+253.440944547j),(23.3503495671+253.231000901j),(23.5677533547+253.022462794j),
(20.363428+800.66237j),(19.6579023+800.0689394j),(18.9523766+799.4755088j),(18.2468509+798.8820782j),(17.5413252+798.2886476j),(16.8357995+797.695217j),(16.1302738+797.1017864j),(15.4247481+796.5083558j),(14.7192224+795.9149252j),(14.0136967+795.3214946j),(13.308171+794.728064j),
(25.534294+436.883521j),(23.6316234+437.0536545j),(21.7289528+437.223788j),(19.8262822+437.3939215j),(17.9236116+437.564055j),(16.020941+437.7341885j),(14.1182704+437.904322j),(12.2155998+438.0744555j),(10.3129292+438.244589j),(8.4102586+438.4147225j),(6.507588+438.584856j),
(8.553671+809.927313j),(10.0674702+809.7371778j),(11.5812694+809.5470426j),(13.0950686+809.3569074j),(14.6088678+809.1667722j),(16.122667+808.976637j),(17.6364662+808.7865018j),(19.1502654+808.5963666j),(20.6640646+808.4062314j),(22.1778638+808.2160962j),(23.691663+808.025961j),
(21.553836+813.170189j),(20.3486415+813.2090363j),(19.143447+813.2478836j),(17.9382525+813.2867309j),(16.733058+813.3255782j),(15.5278635+813.3644255j),(14.322669+813.4032728j),(13.1174745+813.4421201j),(11.91228+813.4809674j),(10.7070855+813.5198147j),(9.501891+813.558662j),
(6.4797+435.009611j),(8.3847147+434.9307509j),(10.2897294+434.8518908j),(12.1947441+434.7730307j),(14.0997588+434.6941706j),(16.0047735+434.6153105j),(17.9097882+434.5364504j),(19.8148029+434.4575903j),(21.7198176+434.3787302j),(23.6248323+434.2998701j),(25.529847+434.22101j),
(23.228162+108.760392j),(23.463748+108.1015973j),(23.699334+107.4428026j),(23.93492+106.7840079j),(24.170506+106.1252132j),(24.406092+105.4664185j),(24.641678+104.8076238j),(24.877264+104.1488291j),(25.11285+103.4900344j),(25.348436+102.8312397j),(25.584022+102.172445j),
(14.648089+146.530937j),(14.7923911+145.8401921j),(14.9366932+145.1494472j),(15.0809953+144.4587023j),(15.2252974+143.7679574j),(15.3695995+143.0772125j),(15.5139016+142.3864676j),(15.6582037+141.6957227j),(15.8025058+141.0049778j),(15.9468079+140.3142329j),(16.09111+139.623488j),
(15.219672+140.352635j),(15.5661311+139.9847234j),(15.9125902+139.6168118j),(16.2590493+139.2489002j),(16.6055084+138.8809886j),(16.9519675+138.513077j),(17.2984266+138.1451654j),(17.6448857+137.7772538j),(17.9913448+137.4093422j),(18.3378039+137.0414306j),(18.684263+136.673519j),
(6.893855+273.1287j),(8.533056+270.452713j),(10.172257+267.776726j),(11.811458+265.100739j),(13.450659+262.424752j),(15.08986+259.748765j),(16.729061+257.072778j),(18.368262+254.396791j),(20.007463+251.720804j),(21.646664+249.044817j),(23.285865+246.36883j),
(24.925544+142.338341j),(24.2466633+142.6829424j),(23.5677826+143.0275438j),(22.8889019+143.3721452j),(22.2100212+143.7167466j),(21.5311405+144.061348j),(20.8522598+144.4059494j),(20.1733791+144.7505508j),(19.4944984+145.0951522j),(18.8156177+145.4397536j),(18.136737+145.784355j),
(12.359872+8.983188j),(13.6039792+8.6458616j),(14.8480864+8.3085352j),(16.0921936+7.9712088j),(17.3363008+7.6338824j),(18.580408+7.296556j),(19.8245152+6.9592296j),(21.0686224+6.6219032j),(22.3127296+6.2845768j),(23.5568368+5.9472504j),(24.800944+5.609924j),
(17.533352+781.328889j),(17.1499348+779.9566142j),(16.7665176+778.5843394j),(16.3831004+777.2120646j),(15.9996832+775.8397898j),(15.616266+774.467515j),(15.2328488+773.0952402j),(14.8494316+771.7229654j),(14.4660144+770.3506906j),(14.0825972+768.9784158j),(13.69918+767.606141j),
