(84.514768+494.831828j),(84.6861675187+494.993664075j),(84.855641839+495.15751512j),(85.0231672746+495.323358235j),(85.1887204116+495.49117024j),(85.3522781115+495.660927682j),(85.513817515+495.832606835j),(85.6733160446+496.006183703j),(85.8307514083+496.181634028j),(85.9861016023+496.358933288j),(86.1393449143+496.538056702j),(86.2904599265+496.718979236j),(86.4394255183+496.901675604j),(86.5862208699+497.08612027j),(86.7308254645+497.272287457j),(86.8732190916+497.460151145j),(87.0133818499+497.649685077j),(87.1512941496+497.840862764j),(87.2869367156+498.033657485j),(87.4202905899+498.228042295j),(87.5513371346+498.423990027j),(87.680058034+498.621473292j),(87.8064352977+498.820464492j),(87.9304512626+499.020935813j),(88.0520885959+499.222859238j),(88.1713302971+499.426206544j),(88.2881597004+499.630949312j),(88.4025604774+499.837058924j),(88.514516639+500.044506576j),(88.6240125377+500.253263273j),(88.7310328701+500.463299838j),(88.8355626785+500.674586916j),(88.9375873534+500.887094977j),(89.0370926356+501.10079432j),(89.1340646177+501.315655077j),(89.2284897467+501.531647218j),(89.3203548252+501.748740557j),(89.409647014+501.96690475j),(89.4963538331+502.186109307j),(89.5804631641+502.406323591j),(89.6619632515+502.627516823j),(89.7408427047+502.849658089j),(89.8170904991+503.072716342j),(89.890695978+503.296660406j),(89.9616488541+503.521458981j),(90.0299392107+503.74708065j),(90.0955575033+503.973493878j),(90.1584945608+504.200667022j),(90.218741587+504.42856833j),(90.2762901614+504.65716595j),(90.3311322409+504.886427932j),(90.3832601604+505.116322234j),(90.4326666346+505.346816726j),(90.479344758+505.577879191j),(90.5232880068+505.809477337j),(90.5644902393+506.041578794j),(90.602945697+506.274151123j),(90.6386490051+506.507161818j),(90.6715951736+506.740578313j),(90.7017795979+506.974367985j),(90.7291980592+507.208498159j),(90.7538467255+507.442936111j),(90.7757221517+507.677649076j),(90.7948212805+507.91260425j),(90.8111414424+508.147768793j),(90.8246803567+508.38310984j),(90.8354361308+508.618594496j),(90.8434072618+508.854189851j),(90.8485926353+509.089862977j),(90.8509915267+509.325580935j),(90.8506036008+509.56131078j),(90.8474289118+509.797019565j),(90.8414679033+510.032674348j),(90.8327214084+510.268242192j),(90.8211906497+510.503690173j),(90.8068772388+510.738985385j),(90.789783176+510.97409494j),(90.7699108506+511.208985981j),(90.7472630399+511.443625677j),(90.7218429094+511.677981234j),(90.6936540118+511.912019898j),(90.6627002869+512.145708959j),(90.6289860609+512.379015756j),(90.5925160459+512.61190768j),(90.5532953391+512.844352181j),(90.511329422+513.076316774j),(90.46662416+513.307769036j),(90.4191858012+513.53867662j),(90.3690209759+513.769007253j),(90.3161366952+513.998728744j),(90.2605403505+514.227808984j),(90.2022397121+514.456215958j),(90.1412429283+514.683917743j),(90.0775585244+514.910882513j),(90.0111954009+515.137078548j),(89.9421628332+515.362474233j),(89.8704704694+515.587038066j),(89.7961283295+515.810738662j),(89.719146804+516.033544755j),(89.6395366519+516.255425204j),
(67.871289+576.275833j),(68.660207+577.5825238j),(69.449125+578.8892146j),(70.238043+580.1959054j),(71.026961+581.5025962j),(71.815879+582.809287j),(72.604797+584.1159778j),(73.393715+585.4226686j),(74.182633+586.7293594j),(74.971551+588.0360502j),(75.760469+589.342741j),
(83.475524+432.491393j),(81.9004672+436.9704933j),(80.3254104+441.4495936j),(78.7503536+445.9286939j),(77.1752968+450.4077942j),(75.60024+454.8868945j),(74.0251832+459.3659948j),(72.4501264+463.8450951j),(70.8750696+468.3241954j),(69.3000128+472.8032957j),(67.724956+477.282396j),
(76.272958+222.247595j),(75.4827101+222.9584366j),(74.6924622+223.6692782j),(73.9022143+224.3801198j),(73.1119664+225.0909614j),(72.3217185+225.801803j),(71.5314706+226.5126446j),(70.7412227+227.2234862j),(69.9509748+227.9343278j),(69.1607269+228.6451694j),(68.370479+229.356011j),
(82.39103+427.743919j),(82.6481145+426.804796j),(82.905199+425.865673j),(83.1622835+424.92655j),(83.419368+423.987427j),(83.6764525+423.048304j),(83.933537+422.109181j),(84.1906215+421.170058j),(84.447706+420.230935j),(84.7047905+419.291812j),(84.961875+418.352689j),
(75.773371+589.780584j),(76.6034882+591.9303399j),(77.4336054+594.0800958j),(78.2637226+596.2298517j),(79.0938398+598.3796076j),(79.923957+600.5293635j),(80.7540742+602.6791194j),(81.5841914+604.8288753j),(82.4143086+606.9786312j),(83.2444258+609.1283871j),(84.074543+611.278143j),
(81.994759+612.688031j),(81.5089796+611.3827386j),(81.0232002+610.0774462j),(80.5374208+608.7721538j),(80.0516414+607.4668614j),(79.565862+606.161569j),(79.0800826+604.8562766j),(78.5943032+603.5509842j),(78.1085238+602.2456918j),(77.6227444+600.9403994j),(77.136965+599.635107j),
(70.89632+800.714197j),(72.0652166+798.5514331j),(73.2341132+796.3886692j),(74.4030098+794.2259053j),(75.5719064+792.0631414j),(76.740803+789.9003775j),(77.9096996+787.7376136j),(79.0785962+785.5748497j),(80.2474928+783.4120858j),(81.4163894+781.2493219j),(82.585286+779.086558j),
(76.90631+217.863992j),(77.6794243+217.1423179j),(78.4525386+216.4206438j),(79.2256529+215.6989697j),(79.9987672+214.9772956j),(80.7718815+214.2556215j),(81.5449958+213.5339474j),(82.3181101+212.8122733j),(83.0912244+212.0905992j),(83.8643387+211.3689251j),(84.637453+210.647251j),
(76.446372+599.520046j),(76.0693586+598.5114536j),(75.6923452+597.5028612j),(75.3153318+596.4942688j),(74.9383184+595.4856764j),(74.561305+594.477084j),(74.1842916+593.4684916j),(73.8072782+592.4598992j),(73.4302648+591.4513068j),(73.0532514+590.4427144j),(72.676238+589.434122j),
(84.786299+174.865904j),(83.8511781+174.44369j),(82.9160572+174.021476j),(81.9809363+173.599262j),(81.0458154+173.177048j),(80.1106945+172.754834j),(79.1755736+172.33262j),(78.2404527+171.910406j),(77.3053318+171.488192j),(76.3702109+171.065978j),(75.43509+170.643764j),
(81.998091+785.772688j),(80.7756259+788.0056426j),(79.5531608+790.2385972j),(78.3306957+792.4715518j),(77.1082306+794.7045064j),(75.8857655+796.937461j),(74.6633004+799.1704156j),(73.4408353+801.4033702j),(72.2183702+803.6363248j),(70.9959051+805.8692794j),(69.77344+808.102234j),
(85.09221+214.113048j),(84.2786217+214.8989816j),(83.4650334+215.6849152j),(82.6514451+216.4708488j),(81.8378568+217.2567824j),(81.0242685+218.042716j),(80.2106802+218.8286496j),(79.3970919+219.6145832j),(78.5835036+220.4005168j),(77.7699153+221.1864504j),(76.956327+221.972384j),
(84.437836+51.102557j),(83.4359167+51.1285361j),(82.4339974+51.1545152j),(81.4320781+51.1804943j),(80.4301588+51.2064734j),(79.4282395+51.2324525j),(78.4263202+51.2584316j),(77.4244009+51.2844107j),(76.4224816+51.3103898j),(75.4205623+51.3363689j),(74.418643+51.362348j),
(83.921073+243.696593j),(83.2859041+243.3636953j),(82.6507352+243.0307976j),(82.0155663+242.6978999j),(81.3803974+242.3650022j),(80.7452285+242.0321045j),(80.1100596+241.6992068j),(79.4748907+241.3663091j),(78.8397218+241.0334114j),(78.2045529+240.7005137j),(77.569384+240.367616j),
(74.226632+44.828693j),(75.2642969+44.658967j),(76.3019618+44.489241j),(77.3396267+44.319515j),(78.3772916+44.149789j),(79.4149565+43.980063j),(80.4526214+43.810337j),(81.4902863+43.640611j),(82.5279512+43.470885j),(83.5656161+43.301159j),(84.603281+43.131433j),
(70.746935+283.425597j),(71.1752666+284.847191j),(71.6035982+286.268785j),(72.0319298+287.690379j),(72.4602614+289.111973j),(72.888593+290.533567j),(73.3169246+291.955161j),(73.7452562+293.376755j),(74.1735878+294.798349j),(74.6019194+296.219943j),(75.030251+297.641537j),
(70.197322+675.650972j),(70.7362918+676.7315343j),(71.2752616+677.8120966j),(71.8142314+678.8926589j),(72.3532012+679.9732212j),(72.892171+681.0537835j),(73.4311408+682.1343458j),(73.9701106+683.2149081j),(74.5090804+684.2954704j),(75.0480502+685.3760327j),(75.58702+686.456595j),
(81.04216+470.685317j),(81.2780995+469.9950578j),(81.514039+469.3047986j),(81.7499785+468.6145394j),(81.985918+467.9242802j),(82.2218575+467.234021j),(82.457797+466.5437618j),(82.6937365+465.8535026j),(82.929676+465.1632434j),(83.1656155+464.4729842j),(83.401555+463.782725j),
